
;,2
;.plt.got;_IO_default_xsputn;_IO_do_write;_IO_doallocbuf;_IO_file_doallocate;_IO_file_overflow;_IO_file_stat;_IO_file_xsputn;_IO_setb;__fxstat;__libc_malloc;fwrite;,20
;.plt.got;_IO_file_fopen;_IO_file_init;_IO_file_open;_IO_link_in;__libc_malloc;fopen;open;,19
;.plt;__default_morecore;__libc_malloc;__sbrk;_dl_addr;_dl_find_dso_for_object@plt;brk;,3
;_IO_default_finish;_IO_do_write;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_file_write;_IO_setb;_IO_un_link;_IO_unsave_markers;cfree;write;,39
;_IO_default_xsputn;_IO_do_write;_IO_file_overflow;_IO_file_write;_IO_file_xsputn;_IO_fprintf;_IO_vfprintf;strchrnul;write;,33
;_IO_default_xsputn;_IO_do_write;_IO_file_overflow;_IO_file_write;_IO_file_xsputn;_IO_fputs;strlen;write;,37
;_IO_default_xsputn;_IO_do_write;_IO_file_overflow;_IO_file_write;_IO_file_xsputn;fwrite;write;,36
;_IO_default_xsputn;_IO_setb;_IO_vfprintf;sprintf;strchrnul;vsprintf;,7
;_IO_do_write;_IO_file_overflow;_IO_file_write;__overflow;putc;write;,34
;_IO_file_xsputn;_IO_fprintf;_IO_vfprintf;strchrnul;,26
;_IO_file_xsputn;_IO_fputs;strlen;,28
;_IO_file_xsputn;fwrite;,27
;__close;,18
;__default_morecore;__libc_calloc;__sbrk;brk;,10
;__default_morecore;__libc_malloc;__sbrk;brk;,12
;__default_morecore;__sbrk;brk;cfree;,30
;__default_morecore;__sbrk;brk;realloc;,31
;__errno_location;,13
;__fxstat;,16
;__libc_calloc;,5
;__libc_calloc;mmap64;,9
;__libc_malloc;,4
;__libc_malloc;mmap64;,35
;__sigaction;ssignal;,1
;__xstat64;,14
;_obstack_free;cfree;,24
;cfree;,11
;cfree;munmap;,32
;ferror;,38
;fputc;,22
;getenv;strlen;,6
;getpagesize;,8
;open;,15
;putc;,21
;read;,17
;realloc;,23
;strlen;,0
;strtol;,29
;strtoull;,25
;,423
