
;.plt.got;_IO_default_uflow;_IO_doallocbuf;_IO_fgets;_IO_file_doallocate;_IO_file_read;_IO_file_stat;_IO_file_underflow;_IO_getline;_IO_getline_info;_IO_setb;_IO_switch_to_get_mode;__fxstat;__libc_malloc;__uflow;memchr;read;,4
;.plt.got;_IO_default_xsputn;_IO_do_write;_IO_doallocbuf;_IO_file_doallocate;_IO_file_overflow;_IO_file_stat;_IO_file_xsputn;_IO_setb;__fxstat;__libc_malloc;fwrite;,13
;.plt.got;_IO_file_fopen;_IO_file_init;_IO_file_open;_IO_link_in;__libc_malloc;fopen;open;,3
;.plt;.plt.got;_IO_default_xsputn;_IO_do_write;_IO_doallocbuf;_IO_file_doallocate;_IO_file_overflow;_IO_file_stat;_IO_file_xsputn;_IO_puts;_IO_setb;__default_morecore;__fxstat;__libc_malloc;__sbrk;_dl_addr;_dl_find_dso_for_object@plt;brk;strlen;,0
;_IO_default_finish;_IO_do_write;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_file_write;_IO_setb;_IO_un_link;_IO_unsave_markers;cfree;write;,18
;_IO_default_finish;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_setb;_IO_un_link;_IO_unsave_markers;cfree;,9
;_IO_default_uflow;_IO_fgets;_IO_file_read;_IO_file_underflow;_IO_getline;_IO_getline_info;_IO_switch_to_get_mode;__uflow;memchr;read;,8
;_IO_default_xsputn;_IO_do_write;_IO_file_overflow;_IO_file_write;_IO_file_xsputn;_IO_fprintf;_IO_vfprintf;strchrnul;write;,16
;_IO_default_xsputn;_IO_do_write;_IO_file_overflow;_IO_file_write;_IO_file_xsputn;fwrite;write;,17
;_IO_fgets;_IO_getline;_IO_getline_info;memchr;,7
;_IO_file_xsputn;_IO_fprintf;_IO_vfprintf;strchrnul;,14
;_IO_file_xsputn;_IO_printf;_IO_vfprintf;__printf_fp;strchrnul;strlen;,11
;_IO_file_xsputn;_IO_printf;_IO_vfprintf;strchrnul;,10
;_IO_file_xsputn;_IO_puts;strlen;,1
;_IO_file_xsputn;fwrite;,15
;_IO_setb;_IO_sputbackc;_IO_vfscanf;__isoc99_sscanf;__isoc99_vsscanf;__strtol_internal;rawmemchr;,5
;__libc_calloc;mmap64;,6
;cfree;munmap;,19
;mremap;realloc;,12
;putchar;,2
;,403
