
;.plt.got;_IO_default_uflow;_IO_doallocbuf;_IO_fgets;_IO_file_doallocate;_IO_file_read;_IO_file_stat;_IO_file_underflow;_IO_getline;_IO_getline_info;_IO_setb;_IO_switch_to_get_mode;__fxstat;__libc_malloc;__uflow;memchr;read;,2
;.plt.got;_IO_default_xsputn;_IO_do_write;_IO_doallocbuf;_IO_file_doallocate;_IO_file_overflow;_IO_file_stat;_IO_file_xsputn;_IO_printf;_IO_setb;_IO_vfprintf;__fxstat;__libc_malloc;strchrnul;,19
;.plt.got;_IO_default_xsputn;_IO_do_write;_IO_doallocbuf;_IO_file_doallocate;_IO_file_overflow;_IO_file_stat;_IO_file_xsputn;_IO_setb;__fxstat;__libc_malloc;fwrite;,21
;.plt.got;_IO_file_fopen;_IO_file_init;_IO_file_open;_IO_link_in;__libc_malloc;fopen;open;,1
;_IO_default_finish;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_setb;_IO_un_link;_IO_unsave_markers;cfree;,18
;_IO_default_uflow;_IO_fgets;_IO_file_read;_IO_file_underflow;_IO_getline;_IO_getline_info;_IO_switch_to_get_mode;__uflow;memchr;read;,17
;_IO_default_uflow;_IO_file_read;_IO_file_underflow;_IO_sputbackc;_IO_switch_to_get_mode;_IO_vfscanf;__strtod_internal;__strtol_internal;__uflow;__vfscanf;fscanf;read;strlen;,16
;_IO_default_uflow;_IO_file_read;_IO_file_underflow;_IO_sputbackc;_IO_switch_to_get_mode;_IO_vfscanf;__strtod_internal;__uflow;__vfscanf;fscanf;read;strlen;,10
;_IO_default_uflow;_IO_file_read;_IO_file_underflow;_IO_sputbackc;_IO_switch_to_get_mode;_IO_vfscanf;__strtol_internal;__uflow;__vfscanf;fscanf;read;,12
;_IO_default_uflow;_IO_setb;_IO_sputbackc;_IO_str_underflow;_IO_vfscanf;__libc_scratch_buffer_set_array_size;__strtod_internal;__uflow;__vsscanf;rawmemchr;sscanf;strlen;,5
;_IO_default_uflow;_IO_setb;_IO_sputbackc;_IO_str_underflow;_IO_vfscanf;__strtol_internal;__uflow;__vsscanf;rawmemchr;sscanf;,0
;_IO_fgets;_IO_getline;_IO_getline_info;memchr;,3
;_IO_file_xsputn;_IO_fprintf;_IO_vfprintf;__printf_fp;strchrnul;strlen;,23
;_IO_file_xsputn;_IO_fprintf;_IO_vfprintf;strchrnul;,22
;_IO_file_xsputn;_IO_printf;_IO_vfprintf;strchrnul;,20
;_IO_file_xsputn;_IO_puts;strlen;,25
;_IO_file_xsputn;fwrite;,24
;_IO_sputbackc;_IO_vfscanf;__strtod_internal;__strtol_internal;__vfscanf;fscanf;strlen;,15
;_IO_sputbackc;_IO_vfscanf;__strtod_internal;__vfscanf;fscanf;strlen;,9
;_IO_sputbackc;_IO_vfscanf;__strtol_internal;__vfscanf;fscanf;,7
;__default_morecore;__libc_malloc;__sbrk;brk;,14
;__libc_malloc;,11
;__libc_malloc;mmap64;,8
;cfree;,13
;cfree;munmap;,26
;strtok;,4
;strtol;,6
;,410
