
;.plt.got;_IO_file_fopen;_IO_file_init;_IO_file_open;_IO_link_in;__libc_malloc;fopen;open;,12
;.plt;__cxa_atexit;__libc_calloc;calloc@plt;,2
;_IO_default_finish;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_setb;_IO_un_link;_IO_unsave_markers;__errno_location;cfree;,19
;__cxa_atexit;,1
;__cxa_atexit;__libc_calloc;calloc@plt;,4
;__default_morecore;__libc_malloc;__sbrk;brk;,7
;__default_morecore;__sbrk;brk;cfree;,8
;__default_morecore;__sbrk;brk;realloc;,16
;__libc_malloc;,5
;__libc_malloc;mmap64;,6
;__newlocale;_dl_mcount_wrapper_check;btowc;strlen;uselocale;wctob;wctype_l;,0
;__sysconf;,3
;cfree;,9
;cfree;munmap;,13
;mmap64;realloc;,14
;mremap;realloc;,18
;realloc;,15
;strlen;,11
;strtok;,17
;strtol;,10
;times;,20
;,404
