
;,25
;.plt.got;_IO_default_xsputn;_IO_do_write;_IO_doallocbuf;_IO_file_doallocate;_IO_file_overflow;_IO_file_stat;_IO_file_xsputn;_IO_setb;__fxstat;__libc_malloc;fwrite;,26
;.plt.got;_IO_doallocbuf;_IO_file_doallocate;_IO_file_read;_IO_file_seek;_IO_file_seekoff;_IO_file_stat;_IO_setb;__fxstat;__libc_malloc;__lseek;fseek;read;,7
;.plt.got;_IO_file_fopen;_IO_file_init;_IO_file_open;_IO_link_in;_IO_un_link;__libc_malloc;cfree;fopen;open;,23
;.plt.got;_IO_file_fopen;_IO_file_init;_IO_file_open;_IO_link_in;__libc_malloc;fopen;open;,5
;_IO_default_finish;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_setb;_IO_un_link;_IO_unsave_markers;cfree;,6
;_IO_default_uflow;_IO_setb;_IO_sputbackc;_IO_str_underflow;_IO_vfscanf;__strtod_internal;__uflow;__vsscanf;rawmemchr;sscanf;strlen;,15
;_IO_default_uflow;_IO_setb;_IO_sputbackc;_IO_str_underflow;_IO_vfscanf;__strtol_internal;__uflow;__vsscanf;rawmemchr;sscanf;,14
;_IO_default_xsputn;_IO_padn;_IO_setb;_IO_vfprintf;__printf_fp;strchrnul;strlen;vsnprintf;,30
;_IO_default_xsputn;_IO_padn;_IO_setb;_IO_vfprintf;strchrnul;vsnprintf;,20
;_IO_default_xsputn;_IO_setb;_IO_vfprintf;__printf_fp;strchrnul;strlen;vsnprintf;,29
;_IO_default_xsputn;_IO_setb;_IO_vfprintf;sprintf;strchrnul;vsprintf;,24
;_IO_default_xsputn;_IO_setb;_IO_vfprintf;strchrnul;vsnprintf;,19
;_IO_default_xsputn;_IO_setb;_IO_vfprintf;strchrnul;vsprintf;,17
;_IO_do_write;_IO_fflush;_IO_file_sync;_IO_file_write;write;,27
;_IO_feof;,11
;_IO_file_seek;_IO_file_seekoff;__lseek;fseek;,9
;_IO_file_seekoff;_IO_ftell;,8
;_IO_file_xsputn;fwrite;,28
;_IO_fread;_IO_sgetn;,10
;__cxa_atexit;,1
;__default_morecore;__libc_malloc;__sbrk;brk;,12
;__default_morecore;__sbrk;brk;cfree;,13
;__libc_malloc;,0
;__libc_malloc;realloc;,16
;cfree;,3
;difftime;,22
;getcwd;,21
;realloc;,18
;rindex;,4
;strlen;,2
;,414
