
;.plt.got;_IO_default_uflow;_IO_doallocbuf;_IO_fgets;_IO_file_doallocate;_IO_file_read;_IO_file_stat;_IO_file_underflow;_IO_getline;_IO_getline_info;_IO_setb;_IO_switch_to_get_mode;__fxstat;__libc_malloc;__uflow;memchr;read;,6
;.plt.got;_IO_file_fopen;_IO_file_init;_IO_file_open;_IO_link_in;__default_morecore;__libc_malloc;__sbrk;brk;fopen;open;,5
;.plt;__libc_malloc;_dl_addr;_dl_find_dso_for_object@plt;mmap64;,1
;_IO_default_finish;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_setb;_IO_un_link;_IO_unsave_markers;cfree;,18
;_IO_default_uflow;_IO_fgets;_IO_file_read;_IO_file_underflow;_IO_getline;_IO_getline_info;_IO_switch_to_get_mode;__uflow;read;,17
;_IO_default_xsputn;_IO_do_write;_IO_file_overflow;_IO_file_write;_IO_file_xsputn;_IO_fprintf;_IO_vfprintf;strchrnul;write;,9
;_IO_default_xsputn;_IO_do_write;_IO_file_overflow;_IO_file_write;_IO_file_xsputn;_IO_padn;_IO_printf;_IO_vfprintf;strchrnul;write;,15
;_IO_default_xsputn;_IO_do_write;_IO_file_overflow;_IO_file_write;_IO_file_xsputn;_IO_printf;_IO_vfprintf;strchrnul;write;,11
;_IO_default_xsputn;_IO_printf;_IO_vfprintf;strchrnul;,16
;_IO_default_xsputn;_IO_setb;_IO_vfprintf;sprintf;strchrnul;vsprintf;,0
;_IO_do_write;_IO_file_overflow;_IO_file_write;_IO_file_xsputn;_IO_puts;__overflow;strlen;write;,4
;_IO_do_write;_IO_file_overflow;_IO_file_write;_IO_file_xsputn;fwrite;write;,10
;_IO_do_write;_IO_file_overflow;_IO_file_write;__overflow;putchar;write;,8
;_IO_fgets;_IO_getline;_IO_getline_info;memchr;,12
;_IO_file_setbuf;_IO_file_sync;_IO_setbuffer;setbuf;,3
;__libc_malloc;mmap64;,2
;difftime;,13
;strlen;,14
;strtol;,7
;,402
