
;.plt.got;_IO_doallocbuf;_IO_file_doallocate;_IO_file_read;_IO_file_seek;_IO_file_seekoff;_IO_file_stat;_IO_setb;__fxstat;__libc_malloc;__lseek;fseek;read;,3
;.plt.got;_IO_file_fopen;_IO_file_init;_IO_file_open;_IO_link_in;__libc_malloc;fopen;open;,2
;.plt;.plt.got;_IO_default_xsputn;_IO_do_write;_IO_doallocbuf;_IO_file_doallocate;_IO_file_overflow;_IO_file_stat;_IO_file_xsputn;_IO_puts;_IO_setb;__default_morecore;__fxstat;__libc_malloc;__sbrk;_dl_addr;_dl_find_dso_for_object@plt;brk;strlen;,0
;_IO_default_finish;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_setb;_IO_un_link;_IO_unsave_markers;cfree;,8
;_IO_default_uflow;_IO_setb;_IO_sputbackc;_IO_str_underflow;_IO_vfscanf;__isoc99_sscanf;__isoc99_vsscanf;__strtod_internal;__uflow;rawmemchr;strlen;,12
;_IO_default_uflow;_IO_setb;_IO_sputbackc;_IO_str_underflow;_IO_vfscanf;__isoc99_sscanf;__isoc99_vsscanf;__strtol_internal;__uflow;rawmemchr;,11
;_IO_default_xsputn;_IO_do_write;_IO_doallocbuf;_IO_file_overflow;_IO_file_write;_IO_file_xsputn;_IO_fprintf;_IO_vfprintf;strchrnul;write;,16
;_IO_default_xsputn;_IO_setb;_IO_vfprintf;snprintf;strchrnul;vsnprintf;,15
;_IO_file_read;_IO_file_underflow;_IO_fread;_IO_sgetn;_IO_switch_to_get_mode;__underflow;read;,7
;_IO_file_seek;_IO_file_seekoff;__lseek;fseek;,5
;_IO_file_seekoff;_IO_ftell;,4
;_IO_file_xsputn;_IO_printf;_IO_vfprintf;strchrnul;,1
;__libc_malloc;,6
;cfree;,13
;open;,14
;putchar;,10
;strlen;,9
;,400
