
;.plt.got;_IO_default_uflow;_IO_doallocbuf;_IO_fgets;_IO_file_doallocate;_IO_file_read;_IO_file_stat;_IO_file_underflow;_IO_getline;_IO_getline_info;_IO_setb;_IO_switch_to_get_mode;__fxstat;__libc_malloc;__uflow;memchr;read;,9
;.plt.got;_IO_default_xsputn;_IO_do_write;_IO_doallocbuf;_IO_file_doallocate;_IO_file_overflow;_IO_file_stat;_IO_file_xsputn;_IO_fprintf;_IO_setb;_IO_vfprintf;__fxstat;__libc_malloc;strchrnul;,34
;.plt.got;_IO_default_xsputn;_IO_do_write;_IO_doallocbuf;_IO_file_doallocate;_IO_file_overflow;_IO_file_stat;_IO_file_xsputn;_IO_puts;_IO_setb;__fxstat;__libc_malloc;strlen;,5
;.plt.got;_IO_file_fopen;_IO_file_init;_IO_file_open;_IO_link_in;__libc_malloc;fopen;open;,7
;_IO_default_finish;_IO_do_write;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_file_write;_IO_setb;_IO_un_link;_IO_unsave_markers;cfree;write;,37
;_IO_default_finish;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_setb;_IO_un_link;_IO_unsave_markers;cfree;,12
;_IO_default_uflow;_IO_fgets;_IO_file_read;_IO_file_underflow;_IO_getline;_IO_getline_info;_IO_switch_to_get_mode;__uflow;read;,11
;_IO_default_uflow;_IO_setb;_IO_sputbackc;_IO_str_underflow;_IO_vfscanf;__strtol_internal;__uflow;__vsscanf;rawmemchr;sscanf;,21
;_IO_default_xsputn;_IO_do_write;_IO_file_overflow;_IO_file_write;_IO_file_xsputn;_IO_fprintf;_IO_vfprintf;__printf_fp;strchrnul;strlen;write;,36
;_IO_default_xsputn;_IO_padn;_IO_setb;_IO_vfprintf;__printf_fp;sprintf;strchrnul;strlen;vsprintf;,32
;_IO_default_xsputn;_IO_padn;_IO_setb;_IO_vfprintf;sprintf;strchrnul;vsprintf;,27
;_IO_default_xsputn;_IO_setb;_IO_vfprintf;__printf_fp;sprintf;strchrnul;strlen;vsprintf;,31
;_IO_default_xsputn;_IO_setb;_IO_vfprintf;sprintf;strchrnul;vsprintf;,19
;_IO_default_xsputn;_IO_setb;_IO_vfprintf;strchrnul;vsprintf;,26
;_IO_do_write;_IO_fflush;_IO_file_sync;_IO_file_write;write;,18
;_IO_feof;,8
;_IO_fgets;_IO_getline;_IO_getline_info;memchr;,10
;_IO_file_xsputn;_IO_fprintf;_IO_vfprintf;__printf_fp;strchrnul;strlen;,35
;_IO_file_xsputn;_IO_printf;_IO_vfprintf;strchrnul;,13
;_IO_file_xsputn;_IO_puts;strlen;,6
;_IO_setb;_IO_sputbackc;_IO_vfscanf;__strtod_internal;__vsscanf;rawmemchr;sscanf;strlen;,20
;_IO_setb;_IO_sputbackc;_IO_vfscanf;__vsscanf;rawmemchr;sscanf;,24
;__cxa_atexit;,1
;__cxa_atexit;__libc_calloc;calloc@plt;,4
;__default_morecore;__libc_malloc;__sbrk;brk;,29
;__default_morecore;__sbrk;brk;cfree;,30
;__libc_malloc;,2
;__libc_siglongjmp;,15
;__newlocale;_dl_mcount_wrapper_check;btowc;strlen;uselocale;wctob;wctype_l;,0
;__sigaction;ssignal;,16
;__sigsetjmp;_setjmp;,14
;cfree;,22
;dl_iterate_phdr;strlen;,33
;memchr;,23
;remove;unlink;,25
;strlen;,3
;strtok;,28
;strtol;,17
;,421
