
;.plt.got;_IO_default_uflow;_IO_doallocbuf;_IO_fgets;_IO_file_doallocate;_IO_file_read;_IO_file_stat;_IO_file_underflow;_IO_getline;_IO_getline_info;_IO_setb;_IO_switch_to_get_mode;__fxstat;__libc_malloc;__uflow;memchr;read;,9
;.plt.got;_IO_default_uflow;_IO_doallocbuf;_IO_file_doallocate;_IO_file_read;_IO_file_stat;_IO_file_underflow;_IO_setb;_IO_sputbackc;_IO_switch_to_get_mode;_IO_vfscanf;__fxstat;__isoc99_fscanf;__libc_malloc;__strtod_internal;__uflow;read;strlen;,1
;.plt.got;_IO_default_uflow;_IO_doallocbuf;_IO_file_doallocate;_IO_file_read;_IO_file_stat;_IO_file_underflow;_IO_setb;_IO_sputbackc;_IO_switch_to_get_mode;_IO_vfscanf;__fxstat;__isoc99_fscanf;__libc_malloc;__strtol_internal;__uflow;read;,44
;.plt.got;_IO_default_xsputn;_IO_do_write;_IO_doallocbuf;_IO_file_doallocate;_IO_file_overflow;_IO_file_stat;_IO_file_xsputn;_IO_fprintf;_IO_padn;_IO_setb;_IO_vfprintf;__fxstat;__libc_malloc;strchrnul;,50
;.plt.got;_IO_default_xsputn;_IO_do_write;_IO_doallocbuf;_IO_file_doallocate;_IO_file_overflow;_IO_file_stat;_IO_file_xsputn;_IO_fprintf;_IO_setb;_IO_vfprintf;__fxstat;__libc_malloc;strchrnul;,5
;.plt.got;_IO_doallocbuf;_IO_file_doallocate;_IO_file_read;_IO_file_stat;_IO_file_underflow;_IO_fread;_IO_setb;_IO_sgetn;_IO_switch_to_get_mode;__fxstat;__libc_malloc;__underflow;read;,32
;.plt.got;_IO_file_fopen;_IO_file_init;_IO_file_open;_IO_link_in;__libc_malloc;fopen;open;,7
;.plt.got;__libc_malloc;__strdup;strlen;,48
;.plt;.plt.got;_IO_file_fopen;_IO_file_init;_IO_file_open;_IO_link_in;__default_morecore;__libc_malloc;__sbrk;_dl_addr;_dl_find_dso_for_object@plt;brk;fopen;open;,0
;_IO_default_finish;_IO_do_write;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_file_write;_IO_setb;_IO_un_link;_IO_unsave_markers;cfree;write;,52
;_IO_default_finish;_IO_fclose;_IO_file_close;_IO_file_close_it;_IO_file_finish;_IO_setb;_IO_un_link;_IO_unsave_markers;cfree;,4
;_IO_default_uflow;_IO_fgets;_IO_file_read;_IO_file_underflow;_IO_getline;_IO_getline_info;_IO_switch_to_get_mode;__uflow;memchr;read;,16
;_IO_default_uflow;_IO_fgets;_IO_file_read;_IO_file_underflow;_IO_getline;_IO_getline_info;_IO_switch_to_get_mode;__uflow;read;,13
;_IO_default_uflow;_IO_file_read;_IO_file_underflow;_IO_switch_to_get_mode;_IO_vfscanf;__isoc99_fscanf;__uflow;read;,3
;_IO_default_uflow;_IO_setb;_IO_sputbackc;_IO_str_underflow;_IO_vfscanf;__isoc99_sscanf;__isoc99_vsscanf;__strtod_internal;__uflow;rawmemchr;strlen;,21
;_IO_default_uflow;_IO_setb;_IO_sputbackc;_IO_str_underflow;_IO_vfscanf;__isoc99_sscanf;__isoc99_vsscanf;__strtof_internal;__uflow;rawmemchr;strlen;,19
;_IO_default_uflow;_IO_setb;_IO_sputbackc;_IO_str_underflow;_IO_vfscanf;__isoc99_sscanf;__isoc99_vsscanf;__strtol_internal;__uflow;rawmemchr;,20
;_IO_default_uflow;_IO_setb;_IO_str_underflow;_IO_vfscanf;__isoc99_sscanf;__isoc99_vsscanf;__uflow;rawmemchr;,29
;_IO_default_xsputn;_IO_setb;_IO_vfprintf;sprintf;strchrnul;vsprintf;,45
;_IO_do_write;_IO_fflush;_IO_file_sync;_IO_file_write;write;,42
